date,tier1_organizer,tier1_type,tier1_location,tier1_registration,tier2_organizer,tier2_type,tier2_calendar_type,tier2_location,match_found,similarity_score,normalized_tier1,normalized_tier2,notes
2025-08-30 00:00:00,"Engelse Springer Club, Welsh Springer Spaniel Club, Cocker Spaniel Club",SWT,Beers,niet mogelijk,"Engelse Springer Club, Welsh Springer Spaniel Club, Cocker Spaniel Club [email protected]",Spaniël Workingtest,ORWEJA Werktest,Beers,YES,0.812,engelse springer club welsh springer spaniel club cocker spaniel club,engelse springer club welsh springer spaniel club cocker spaniel club email protected,Potential match
2025-08-30 00:00:00,Continentale Staande honden Vereeniging,veldwedstrijd,St. Annaland,niet mogelijk,Continentale Staande honden Vereeniging [email protected],Veldwedstrijd,Veldwedstrijd,St. Annaland,YES,0.709,continentale staande honden vereeniging,continentale staande honden vereeniging email protected,Potential match
2025-08-30 00:00:00,Continentale Staande honden Vereeniging,veldwedstrijd,St. Annaland,niet mogelijk,Continentale Staande honden Vereeniging [email protected],Veldwedstrijd,Veldwedstrijd,St. Annaland,YES,0.709,continentale staande honden vereeniging,continentale staande honden vereeniging email protected,Potential match
2025-08-30 00:00:00,Continentale Staande honden Vereeniging,veldwedstrijd,St. Annaland,niet mogelijk,KNJV Provincie Gelderland Stichting Jachthonden Opleiding Terborg [email protected],SJP,Jachthondenproef,"Openluchttheater Engbergen Bosweg 5 7083 AB Voorst, gemeente Oude IJsselstreek Aanvang: 07.30",NO,0.481,continentale staande honden vereeniging,knjv provincie gelderland stichting jachthonden opleiding terborg email protected,Potential match
2025-08-30 00:00:00,Continentale Staande honden Vereeniging,veldwedstrijd,St. Annaland,niet mogelijk,"Stichting Jachthonden Provincie Noord-Holland, locatie Hoorn [email protected]",SJP,Jachthondenproef,Het Streekbos Veilingweg 1611BN Bovenkarspel Aanvang: 07:30,YES,0.527,continentale staande honden vereeniging,stichting jachthonden provincie noordholland locatie hoorn email protected,Potential match
2025-08-30 00:00:00,Continentale Staande honden Vereeniging,veldwedstrijd,St. Annaland,niet mogelijk,Stichting Jachthondengroep Uffelte [email protected],SJP,Jachthondenproef,Uffelte Rijksweg 41 7975 RV Uffelte Aanvang: 7:30,YES,0.760,continentale staande honden vereeniging,stichting jachthondengroep uffelte email protected,Potential match
2025-08-30 00:00:00,Continentale Staande honden Vereeniging,veldwedstrijd,St. Annaland,niet mogelijk,"Engelse Springer Club, Welsh Springer Spaniel Club, Cocker Spaniel Club [email protected]",Spaniël Workingtest,ORWEJA Werktest,Beers,NO,0.447,continentale staande honden vereeniging,engelse springer club welsh springer spaniel club cocker spaniel club email protected,Potential match
2025-08-30 00:00:00,Continentale Staande honden Vereeniging,veldwedstrijd,St. Annaland,niet mogelijk,Continentale Staande honden Vereeniging [email protected],Veldwedstrijd,Veldwedstrijd,St. Annaland,YES,0.709,continentale staande honden vereeniging,continentale staande honden vereeniging email protected,Potential match
2025-08-30 00:00:00,Continentale Staande honden Vereeniging,veldwedstrijd,St. Annaland,niet mogelijk,Continentale Staande honden Vereeniging [email protected],Veldwedstrijd,Veldwedstrijd,St. Annaland,YES,0.709,continentale staande honden vereeniging,continentale staande honden vereeniging email protected,Potential match
2025-08-30 00:00:00,Continentale Staande honden Vereeniging,veldwedstrijd,St. Annaland,niet mogelijk,KNJV Provincie Gelderland Stichting Jachthonden Opleiding Terborg [email protected],SJP,Jachthondenproef,"Openluchttheater Engbergen Bosweg 5 7083 AB Voorst, gemeente Oude IJsselstreek Aanvang: 07.30",NO,0.481,continentale staande honden vereeniging,knjv provincie gelderland stichting jachthonden opleiding terborg email protected,Potential match
2025-08-30 00:00:00,Continentale Staande honden Vereeniging,veldwedstrijd,St. Annaland,niet mogelijk,"Stichting Jachthonden Provincie Noord-Holland, locatie Hoorn [email protected]",SJP,Jachthondenproef,Het Streekbos Veilingweg 1611BN Bovenkarspel Aanvang: 07:30,YES,0.527,continentale staande honden vereeniging,stichting jachthonden provincie noordholland locatie hoorn email protected,Potential match
2025-08-30 00:00:00,Continentale Staande honden Vereeniging,veldwedstrijd,St. Annaland,niet mogelijk,Stichting Jachthondengroep Uffelte [email protected],SJP,Jachthondenproef,Uffelte Rijksweg 41 7975 RV Uffelte Aanvang: 7:30,YES,0.760,continentale staande honden vereeniging,stichting jachthondengroep uffelte email protected,Potential match
2025-08-30 00:00:00,Continentale Staande honden Vereeniging,veldwedstrijd,St. Annaland,niet mogelijk,"Engelse Springer Club, Welsh Springer Spaniel Club, Cocker Spaniel Club [email protected]",Spaniël Workingtest,ORWEJA Werktest,Beers,NO,0.447,continentale staande honden vereeniging,engelse springer club welsh springer spaniel club cocker spaniel club email protected,Potential match
2025-08-30 00:00:00,KNJV Provincie GelderlandStichting Jachthonden Opleiding Terborg,KNJV,"Openluchttheater EngbergenBosweg 57083 AB Voorst, gemeente Oude IJsselstreekAanvang: 07.30",Inschrijven,Continentale Staande honden Vereeniging [email protected],Veldwedstrijd,Veldwedstrijd,St. Annaland,YES,0.938,knjv provincie gelderlandstichting jachthonden opleiding terborg,continentale staande honden vereeniging email protected,Potential match
2025-08-30 00:00:00,KNJV Provincie GelderlandStichting Jachthonden Opleiding Terborg,KNJV,"Openluchttheater EngbergenBosweg 57083 AB Voorst, gemeente Oude IJsselstreekAanvang: 07.30",Inschrijven,Continentale Staande honden Vereeniging [email protected],Veldwedstrijd,Veldwedstrijd,St. Annaland,YES,0.938,knjv provincie gelderlandstichting jachthonden opleiding terborg,continentale staande honden vereeniging email protected,Potential match
2025-08-30 00:00:00,KNJV Provincie GelderlandStichting Jachthonden Opleiding Terborg,KNJV,"Openluchttheater EngbergenBosweg 57083 AB Voorst, gemeente Oude IJsselstreekAanvang: 07.30",Inschrijven,KNJV Provincie Gelderland Stichting Jachthonden Opleiding Terborg [email protected],SJP,Jachthondenproef,"Openluchttheater Engbergen Bosweg 5 7083 AB Voorst, gemeente Oude IJsselstreek Aanvang: 07.30",YES,0.790,knjv provincie gelderlandstichting jachthonden opleiding terborg,knjv provincie gelderland stichting jachthonden opleiding terborg email protected,Potential match
2025-08-30 00:00:00,KNJV Provincie GelderlandStichting Jachthonden Opleiding Terborg,KNJV,"Openluchttheater EngbergenBosweg 57083 AB Voorst, gemeente Oude IJsselstreekAanvang: 07.30",Inschrijven,"Stichting Jachthonden Provincie Noord-Holland, locatie Hoorn [email protected]",SJP,Jachthondenproef,Het Streekbos Veilingweg 1611BN Bovenkarspel Aanvang: 07:30,YES,0.838,knjv provincie gelderlandstichting jachthonden opleiding terborg,stichting jachthonden provincie noordholland locatie hoorn email protected,Potential match
2025-08-30 00:00:00,KNJV Provincie GelderlandStichting Jachthonden Opleiding Terborg,KNJV,"Openluchttheater EngbergenBosweg 57083 AB Voorst, gemeente Oude IJsselstreekAanvang: 07.30",Inschrijven,Stichting Jachthondengroep Uffelte [email protected],SJP,Jachthondenproef,Uffelte Rijksweg 41 7975 RV Uffelte Aanvang: 7:30,YES,0.938,knjv provincie gelderlandstichting jachthonden opleiding terborg,stichting jachthondengroep uffelte email protected,Potential match
2025-08-30 00:00:00,KNJV Provincie GelderlandStichting Jachthonden Opleiding Terborg,KNJV,"Openluchttheater EngbergenBosweg 57083 AB Voorst, gemeente Oude IJsselstreekAanvang: 07.30",Inschrijven,"Engelse Springer Club, Welsh Springer Spaniel Club, Cocker Spaniel Club [email protected]",Spaniël Workingtest,ORWEJA Werktest,Beers,YES,0.706,knjv provincie gelderlandstichting jachthonden opleiding terborg,engelse springer club welsh springer spaniel club cocker spaniel club email protected,Potential match
2025-08-30 00:00:00,"Stichting Jachthonden Provincie Noord-Holland, locatie Hoorn",KNJV,Het StreekbosVeilingweg1611BN BovenkarspelAanvang: 07:30,Inschrijven,Continentale Staande honden Vereeniging [email protected],Veldwedstrijd,Veldwedstrijd,St. Annaland,YES,0.983,stichting jachthonden provincie noordholland locatie hoorn,continentale staande honden vereeniging email protected,Potential match
2025-08-30 00:00:00,"Stichting Jachthonden Provincie Noord-Holland, locatie Hoorn",KNJV,Het StreekbosVeilingweg1611BN BovenkarspelAanvang: 07:30,Inschrijven,Continentale Staande honden Vereeniging [email protected],Veldwedstrijd,Veldwedstrijd,St. Annaland,YES,0.983,stichting jachthonden provincie noordholland locatie hoorn,continentale staande honden vereeniging email protected,Potential match
2025-08-30 00:00:00,"Stichting Jachthonden Provincie Noord-Holland, locatie Hoorn",KNJV,Het StreekbosVeilingweg1611BN BovenkarspelAanvang: 07:30,Inschrijven,KNJV Provincie Gelderland Stichting Jachthonden Opleiding Terborg [email protected],SJP,Jachthondenproef,"Openluchttheater Engbergen Bosweg 5 7083 AB Voorst, gemeente Oude IJsselstreek Aanvang: 07.30",YES,0.716,stichting jachthonden provincie noordholland locatie hoorn,knjv provincie gelderland stichting jachthonden opleiding terborg email protected,Potential match
2025-08-30 00:00:00,"Stichting Jachthonden Provincie Noord-Holland, locatie Hoorn",KNJV,Het StreekbosVeilingweg1611BN BovenkarspelAanvang: 07:30,Inschrijven,"Stichting Jachthonden Provincie Noord-Holland, locatie Hoorn [email protected]",SJP,Jachthondenproef,Het Streekbos Veilingweg 1611BN Bovenkarspel Aanvang: 07:30,YES,0.784,stichting jachthonden provincie noordholland locatie hoorn,stichting jachthonden provincie noordholland locatie hoorn email protected,Potential match
2025-08-30 00:00:00,"Stichting Jachthonden Provincie Noord-Holland, locatie Hoorn",KNJV,Het StreekbosVeilingweg1611BN BovenkarspelAanvang: 07:30,Inschrijven,Stichting Jachthondengroep Uffelte [email protected],SJP,Jachthondenproef,Uffelte Rijksweg 41 7975 RV Uffelte Aanvang: 7:30,YES,0.983,stichting jachthonden provincie noordholland locatie hoorn,stichting jachthondengroep uffelte email protected,Potential match
2025-08-30 00:00:00,"Stichting Jachthonden Provincie Noord-Holland, locatie Hoorn",KNJV,Het StreekbosVeilingweg1611BN BovenkarspelAanvang: 07:30,Inschrijven,"Engelse Springer Club, Welsh Springer Spaniel Club, Cocker Spaniel Club [email protected]",Spaniël Workingtest,ORWEJA Werktest,Beers,YES,0.659,stichting jachthonden provincie noordholland locatie hoorn,engelse springer club welsh springer spaniel club cocker spaniel club email protected,Potential match
2025-08-30 00:00:00,Stichting Jachthondengroep Uffelte,KNJV,UffelteRijksweg 417975 RV UffelteAanvang: 7:30,Inschrijven,Continentale Staande honden Vereeniging [email protected],Veldwedstrijd,Veldwedstrijd,St. Annaland,YES,0.545,stichting jachthondengroep uffelte,continentale staande honden vereeniging email protected,Potential match
2025-08-30 00:00:00,Stichting Jachthondengroep Uffelte,KNJV,UffelteRijksweg 417975 RV UffelteAanvang: 7:30,Inschrijven,Continentale Staande honden Vereeniging [email protected],Veldwedstrijd,Veldwedstrijd,St. Annaland,YES,0.545,stichting jachthondengroep uffelte,continentale staande honden vereeniging email protected,Potential match
2025-08-30 00:00:00,Stichting Jachthondengroep Uffelte,KNJV,UffelteRijksweg 417975 RV UffelteAanvang: 7:30,Inschrijven,KNJV Provincie Gelderland Stichting Jachthonden Opleiding Terborg [email protected],SJP,Jachthondenproef,"Openluchttheater Engbergen Bosweg 5 7083 AB Voorst, gemeente Oude IJsselstreek Aanvang: 07.30",NO,0.383,stichting jachthondengroep uffelte,knjv provincie gelderland stichting jachthonden opleiding terborg email protected,Potential match
2025-08-30 00:00:00,Stichting Jachthondengroep Uffelte,KNJV,UffelteRijksweg 417975 RV UffelteAanvang: 7:30,Inschrijven,"Stichting Jachthonden Provincie Noord-Holland, locatie Hoorn [email protected]",SJP,Jachthondenproef,Het Streekbos Veilingweg 1611BN Bovenkarspel Aanvang: 07:30,NO,0.419,stichting jachthondengroep uffelte,stichting jachthonden provincie noordholland locatie hoorn email protected,Potential match
2025-08-30 00:00:00,Stichting Jachthondengroep Uffelte,KNJV,UffelteRijksweg 417975 RV UffelteAanvang: 7:30,Inschrijven,Stichting Jachthondengroep Uffelte [email protected],SJP,Jachthondenproef,Uffelte Rijksweg 41 7975 RV Uffelte Aanvang: 7:30,YES,0.680,stichting jachthondengroep uffelte,stichting jachthondengroep uffelte email protected,Potential match
2025-08-30 00:00:00,Stichting Jachthondengroep Uffelte,KNJV,UffelteRijksweg 417975 RV UffelteAanvang: 7:30,Inschrijven,"Engelse Springer Club, Welsh Springer Spaniel Club, Cocker Spaniel Club [email protected]",Spaniël Workingtest,ORWEJA Werktest,Beers,NO,0.365,stichting jachthondengroep uffelte,engelse springer club welsh springer spaniel club cocker spaniel club email protected,Potential match
2025-08-31 00:00:00,KNJV Provincie GelderlandStichting Jachthonden Opleiding Terborgi.s.m: Nederlandse Korthals Griffonclub & Cesky Fousek Vereniging Nederland,KNJV,"Openluchttheater EngbergenBosweg 57083 AB Voorst, gemeente Oude IJsselstreekAanvang: 07.30",Inschrijven,KNJV Provincie Gelderland Stichting Jachthonden Opleiding Terborg i.s.m: Nederlandse Korthals Griffonclub & Cesky Fousek Vereniging Nederland [email protected],SJP,Jachthondenproef,"Openluchttheater Engbergen Bosweg 5 7083 AB Voorst, gemeente Oude IJsselstreek Aanvang: 07.30",YES,0.882,knjv provincie gelderlandstichting jachthonden opleiding terborgism nederlandse korthals griffonclub cesky fousek vereniging nederland,knjv provincie gelderland stichting jachthonden opleiding terborg ism nederlandse korthals griffonclub cesky fousek vereniging nederland email protected,Potential match
2025-09-03 00:00:00,Continentale Staande honden Vereeniging,veldwedstrijd,St. AnnalandAanvang: 8.30,Inschrijven,Continentale Staande honden Vereeniging [email protected],Veldwedstrijd,Veldwedstrijd,St. Annaland Aanvang: 8.30,YES,0.709,continentale staande honden vereeniging,continentale staande honden vereeniging email protected,Potential match
2025-09-03 00:00:00,Continentale Staande honden Vereeniging,veldwedstrijd,St. AnnalandAanvang: 8.30,Inschrijven,Vereniging De Weimarse Staande Hond [email protected],Veldwedstrijd,Veldwedstrijd,Budel Aanvang: 9.00,YES,0.765,continentale staande honden vereeniging,vereniging de weimarse staande hond email protected,Potential match
2025-09-03 00:00:00,Vereniging De Weimarse Staande Hond,veldwedstrijd,BudelAanvang: 9.00,Inschrijven,Continentale Staande honden Vereeniging [email protected],Veldwedstrijd,Veldwedstrijd,St. Annaland Aanvang: 8.30,YES,0.618,vereniging de weimarse staande hond,continentale staande honden vereeniging email protected,Potential match
2025-09-03 00:00:00,Vereniging De Weimarse Staande Hond,veldwedstrijd,BudelAanvang: 9.00,Inschrijven,Vereniging De Weimarse Staande Hond [email protected],Veldwedstrijd,Veldwedstrijd,Budel Aanvang: 9.00,YES,0.686,vereniging de weimarse staande hond,vereniging de weimarse staande hond email protected,Potential match
